x,Curve1,Curve2,Curve3,Curve4
20.9242,0.99181,0.79604,0.62834,0.54286
20.9926,0.98215,0.78796,0.62515,0.53942
21.0087,0.97987,0.78606,0.62441,0.53867
21.1659,0.9577,0.76758,0.61741,0.52962
21.1888,0.95448,0.7649,0.61639,0.52815
21.2727,0.94281,0.75526,0.61267,0.52266
21.3791,0.92826,0.74102,0.60782,0.51552
21.643,0.89333,0.70635,0.59415,0.49718
21.6663,0.89028,0.70304,0.59276,0.4955
21.6677,0.8901,0.70285,0.59268,0.4954
21.7494,0.87936,0.69156,0.58752,0.48943
22.0377,0.84248,0.65431,0.56911,0.47084
22.057,0.84023,0.65201,0.5681,0.46997
22.1018,0.83513,0.64676,0.56599,0.46815
22.1197,0.83316,0.64472,0.56526,0.46749
22.4707,0.79805,0.60848,0.55762,0.45695
22.4932,0.79583,0.60617,0.55709,0.45629
22.5552,0.78962,0.59961,0.55537,0.45443
22.5598,0.78915,0.59913,0.55523,0.45429
22.8844,0.75471,0.56766,0.5431,0.44396
22.95,0.74798,0.56166,0.54058,0.44178
22.969,0.74609,0.55994,0.53987,0.44115
23.4044,0.70796,0.52108,0.52546,0.4258
23.4504,0.70432,0.51704,0.52405,0.42404
23.4518,0.70421,0.51692,0.524,0.42399
23.8615,0.67253,0.48161,0.5112,0.40653
23.9087,0.66884,0.47766,0.50965,0.40477
23.9725,0.66383,0.47238,0.5075,0.40268
23.973,0.66379,0.47234,0.50748,0.40267
24.3187,0.63709,0.44725,0.49501,0.39337
24.409,0.63049,0.44212,0.49157,0.39094
24.4518,0.62744,0.43959,0.48991,0.38975
24.4947,0.62443,0.43695,0.48824,0.38852
24.7975,0.60434,0.41673,0.47644,0.37905
24.9298,0.59617,0.40754,0.47175,0.37444
24.9311,0.59609,0.40744,0.4717,0.37439
25.0177,0.5908,0.40138,0.46886,0.37115
25.2763,0.5743,0.38339,0.46079,0.36119
25.3663,0.5681,0.37729,0.45797,0.3579
25.4519,0.56202,0.37158,0.4552,0.35485
25.4966,0.5588,0.36864,0.45371,0.35328
25.7334,0.54156,0.35322,0.44542,0.34511
25.9075,0.53064,0.34199,0.43943,0.3392
25.9305,0.52913,0.3405,0.43868,0.33843
26.1712,0.51272,0.32495,0.43123,0.33036
26.1713,0.51271,0.32495,0.43123,0.33036
26.3864,0.49789,0.31079,0.4244,0.32325
26.4526,0.49334,0.30628,0.42213,0.3211
26.6501,0.47985,0.2922,0.41486,0.31503
26.6933,0.4769,0.289,0.41319,0.31381
26.8652,0.46514,0.27613,0.4064,0.30926
26.953,0.45885,0.26961,0.40289,0.30684
27.0176,0.45423,0.26489,0.40047,0.30492
27.0849,0.44953,0.26007,0.39861,0.30275
27.1271,0.44661,0.25712,0.39737,0.3013
27.1725,0.44348,0.25402,0.39598,0.29968
27.4964,0.42148,0.23381,0.38569,0.28711
27.5853,0.41558,0.22827,0.38285,0.28351
27.6492,0.41138,0.22412,0.38082,0.28092
27.6513,0.41124,0.22397,0.38075,0.28083
27.9535,0.39145,0.20255,0.37093,0.26929
28.0204,0.38698,0.19772,0.36856,0.26701
28.0625,0.38414,0.19471,0.36705,0.26564
28.152,0.37807,0.18851,0.36379,0.26282
28.4323,0.3587,0.17081,0.35349,0.25411
28.5425,0.35096,0.16404,0.34948,0.25046
28.6308,0.34466,0.15847,0.3463,0.24735
28.824,0.33009,0.14564,0.33953,0.24012
28.8448,0.32842,0.14421,0.33883,0.23933
29.0647,0.31037,0.12891,0.33176,0.23121
29.1096,0.30706,0.12572,0.33039,0.22964
29.1942,0.30144,0.11967,0.32782,0.22675
29.3055,0.29507,0.11207,0.32433,0.22306
29.3461,0.2929,0.10935,0.32298,0.22173
29.6512,0.27682,0.08869,0.3116,0.21195
29.6521,0.27677,0.08863,0.31156,0.21192
29.7843,0.26785,0.07933,0.30626,0.20761
29.8465,0.26262,0.07473,0.30374,0.20554
29.9143,0.25621,0.06937,0.301,0.20325
30.011,0.24728,0.06043,0.29711,0.19993
30.0129,0.24712,0.06024,0.29704,0.19987
